%File: MA_CRP_09032023.CRS
%DIDACTA Italia:
%Exercise on: C.R.P. OpenLoop

%Test Date: 05/09/2000   User:                               

%Test #: 0

%Sample Rate: 1 s

%Notes: 


%----------
% #       time  Out.Sig  Act.Sig    Noise       SP      
%        [sec]      [%]      [%]      [%]      [%]      
472     473.0     22.0     27.0      0.0     50.0
473     474.0     22.0     27.0      0.0     50.0
474     475.0     21.9     27.0      0.0     50.0
475     476.0     22.1     27.0      0.0     50.0
476     477.0     22.1     27.0      0.0     50.0
477     478.0     22.2     27.0      0.0     50.0
478     479.0     22.0     27.0      0.0     50.0
479     480.0     22.1     27.0      0.0     50.0
480     481.0     22.1     27.0      0.0     50.0
481     482.0     22.1     27.0      0.0     50.0
482     483.0     21.9     27.0      0.0     50.0
483     484.0     22.0     27.0      0.0     50.0
484     485.0     22.1     27.0      0.0     50.0
485     486.0     21.9     27.0      0.0     50.0
486     487.0     22.2     27.0      0.0     50.0
487     488.0     22.0     27.0      0.0     50.0
488     489.0     22.2     27.0      0.0     50.0
489     490.0     22.0     27.0      0.0     50.0
490     491.0     22.2     27.0      0.0     50.0
491     492.0     22.0     27.0      0.0     50.0
492     493.0     22.0     27.0      0.0     50.0
493     494.0     22.1     27.0      0.0     50.0
494     495.0     22.1     27.0      0.0     50.0
495     496.0     22.0     27.0      0.0     50.0
496     497.0     22.0     27.0      0.0     50.0
497     498.0     22.0     27.0      0.0     50.0
498     499.0     22.1     27.0      0.0     50.0
499     500.0     22.0     27.0      0.0     50.0
500     501.0     22.0     27.0      0.0     50.0
501     502.0     22.1     27.0      0.0     50.0
502     503.0     22.0     27.0      0.0     50.0
503     504.0     22.1     27.0      0.0     50.0
504     505.0     22.1     27.0      0.0     50.0
505     506.0     22.1     27.0      0.0     50.0
506     507.0     22.1     27.0      0.0     50.0
507     508.0     22.0     27.0      0.0     50.0
508     509.0     22.1     27.0      0.0     50.0
509     510.0     22.0     27.0      0.0     50.0
510     511.0     21.9     27.0      0.0     50.0
